No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
1    01:34.200      01:34.131      02:13.831      39.700     39.700     Paused by player, Unpause by player
11   37:57.157      46:08.206      46:16.179      7.973      7.973      Paused by player, Unpause by player
12   37:58.657      46:17.680      46:24.538      6.858      6.858      Paused by player, Unpause by player
13   38:00.057      46:25.957      46:28.915      2.958      2.958      Paused by player, Unpause by player
14   38:00.507      46:29.342      46:31.571      2.229      2.229      Paused by player, Unpause by player
15   38:05.157      46:36.217      46:41.966      5.749      5.749      Paused by player, Unpause by player
16   38:08.807      46:45.611      46:47.336      1.725      1.725      Paused by player, Unpause by player
17   38:09.107      46:47.599      46:54.513      6.914      6.914      Paused by player, Unpause by player
18   38:09.507      46:54.911      47:01.579      6.668      6.668      Paused by player, Unpause by player
19   38:10.507      47:02.556      47:11.132      8.576      8.576      Paused by player, Unpause by player
20   38:12.457      47:13.072      47:13.670      0.598      0.598      Paused by player, Unpause by player
21   38:26.107      47:27.313      47:31.932      4.619      4.619      Paused by player, Unpause by player
22   38:26.557      47:32.339      47:35.867      3.528      3.528      Paused by player, Unpause by player
23   38:51.707      48:01.004      48:09.153      8.149      8.149      Paused by player, Unpause by player
24   39:02.957      48:20.391      48:22.136      1.745      1.745      Paused by player, Unpause by player
25   39:25.407      48:44.562      48:50.428      5.866      5.866      Paused by player, Unpause by player
26   39:26.907      48:51.887      49:21.285      29.398     29.398     Paused by player, Unpause by player
27   39:28.157      49:22.490      49:44.347      21.857     21.857     Paused by player, Unpause by player
28   39:29.807      49:45.993      49:47.663      1.670      1.670      Paused by player, Unpause by player
29   39:31.107      49:48.943      49:55.164      6.221      6.221      Paused by player, Unpause by player
30   39:33.057      49:57.073      49:58.295      1.222      1.222      Paused by player, Unpause by player
31   39:35.057      50:00.280      50:05.791      5.511      5.511      Paused by player, Unpause by player
32   39:40.757      50:11.454      50:12.579      1.125      1.125      Paused by player, Unpause by player
33   40:11.657      50:43.460      50:46.581      3.121      3.121      Paused by player, Unpause by player
34   40:14.107      50:48.994      50:51.399      2.405      2.405      Paused by player, Unpause by player
35   40:14.657      50:51.950      50:53.349      1.399      1.399      Paused by player, Unpause by player
36   40:15.557      50:54.247      50:55.568      1.321      1.321      Paused by player, Unpause by player
37   40:39.607      51:19.584      51:20.266      0.682      0.682      Paused by player, Unpause by player
38   40:44.357      51:25.002      51:25.496      0.494      0.494      Paused by player, Unpause by player
39   40:45.357      51:26.482      51:56.237      29.755     29.755     Paused by player, Unpause by player
40   40:47.107      51:57.969      51:58.747      0.778      0.778      Paused by player, Unpause by player
41   40:47.557      51:59.200      51:59.990      0.790      0.790      Paused by player, Unpause by player
42   40:48.057      52:00.495      52:01.153      0.658      0.658      Paused by player, Unpause by player
43   40:49.757      52:02.842      52:03.466      0.624      0.624      Paused by player, Unpause by player
44   40:50.157      52:03.834      52:04.738      0.904      0.904      Paused by player, Unpause by player
45   40:54.357      52:08.941      52:13.037      4.096      4.096      Paused by player, Unpause by player
46   40:59.207      52:17.881      52:19.128      1.247      1.247      Paused by player, Unpause by player
47   40:59.957      52:19.842      52:22.507      2.665      2.665      Paused by player, Unpause by player
48   42:28.057      53:50.619      54:33.719      43.100     43.100     Paused by player, Unpause by player
49   42:32.907      54:38.591      54:44.573      5.982      5.982      Paused by player, Unpause by player
50   43:32.157      55:43.823      55:47.697      3.874      3.874      Paused by player, Unpause by player
51   44:29.857      56:45.373      56:48.448      3.075      3.075      Paused by player, Unpause by player
52   44:39.657      56:58.283      57:04.744      6.461      6.461      Paused by player, Unpause by player
53   44:51.657      57:16.735      57:18.615      1.880      1.880      Paused by player, Unpause by player
54   44:58.657      57:25.579      57:28.536      2.957      2.957      Paused by player, Unpause by player
55   45:22.557      57:52.429      57:53.684      1.255      1.255      Paused by player, Unpause by player
56   45:27.757      57:58.877      58:16.784      17.907     17.907     Paused by player, Unpause by player
57   46:00.357      58:49.367      58:53.260      3.893      3.893      Paused by player, Unpause by player
58   46:01.407      58:54.297      58:54.935      0.638      0.638      Paused by player, Unpause by player
59   46:01.857      58:55.389      58:56.834      1.445      1.445      Paused by player, Unpause by player
60   46:02.907      58:57.890      59:32.780      34.890     34.890     Paused by player, Unpause by player
61   46:07.557      59:37.393      59:38.741      1.348      1.348      Paused by player, Unpause by player
62   46:07.957      59:39.096      59:41.568      2.472      2.472      Paused by player, Unpause by player
63   46:28.057      1:00:01.691    1:00:25.273    23.582     23.582     Paused by player, Unpause by player
1    46:28.757      1:00:25.999    1:01:17.486    51.487                Paused by leave the world, Unpause by rendered
2    47:03.765      1:01:52.459    1:02:29.463    37.004     37.004     Paused by player, Unpause by player
3    47:23.465      1:02:49.124    1:02:50.818    1.694      1.694      Paused by player, Unpause by player
4    47:57.265      1:03:24.582    1:03:27.477    2.895      2.895      Paused by player, Unpause by player
5    48:01.015      1:03:31.242    1:03:57.385    26.143     26.143     Paused by player, Unpause by player
6    48:17.665      1:04:14.032    1:04:26.221    12.189     12.189     Paused by player, Unpause by player
7    48:26.965      1:04:35.493    1:04:36.783    1.290      1.290      Paused by player, Unpause by player
8    48:27.415      1:04:37.222    1:05:28.147    50.925     50.925     Paused by player, Unpause by player
9    48:45.165      1:05:45.853    1:06:17.293    31.440     31.440     Paused by player, Unpause by player
10   48:52.965      1:06:25.093    1:06:27.813    2.720      2.720      Paused by player, Unpause by player
11   49:11.015      1:06:45.819    1:06:52.860    7.041      7.041      Paused by player, Unpause by player
12   49:12.565      1:06:54.384    1:06:57.774    3.390      3.390      Paused by player, Unpause by player
13   49:12.965      1:06:58.150    1:07:00.520    2.370      2.370      Paused by player, Unpause by player
14   49:18.715      1:07:06.301    1:07:11.344    5.043      5.043      Paused by player, Unpause by player
15   49:19.965      1:07:12.556    1:07:31.925    19.369     19.369     Paused by player, Unpause by player
16   49:32.265      1:07:44.214    1:07:45.871    1.657      1.657      Paused by player, Unpause by player
17   49:35.765      1:07:49.394    1:07:54.933    5.539      5.539      Paused by player, Unpause by player
18   49:36.065      1:07:55.231    1:07:59.184    3.953      3.953      Paused by player, Unpause by player
19   49:54.465      1:08:17.573    1:08:21.449    3.876      3.876      Paused by player, Unpause by player
20   49:55.765      1:08:22.752    1:08:24.568    1.816      1.816      Paused by player, Unpause by player
21   49:56.165      1:08:24.954    1:08:25.515    0.561      0.561      Paused by player, Unpause by player
22   49:56.665      1:08:25.994    1:08:26.727    0.733      0.733      Paused by player, Unpause by player
23   49:57.015      1:08:27.065    1:08:28.132    1.067      1.067      Paused by player, Unpause by player
24   49:57.515      1:08:28.607    1:08:34.691    6.084      6.084      Paused by player, Unpause by player
25   50:02.965      1:08:40.124    1:08:55.347    15.223     15.223     Paused by player, Unpause by player
26   50:14.065      1:09:06.449    1:09:07.242    0.793      0.793      Paused by player, Unpause by player
27   50:14.365      1:09:07.502    1:09:10.909    3.407      3.407      Paused by player, Unpause by player
28   50:25.165      1:09:21.708    1:09:32.362    10.654     10.654     Paused by player, Unpause by player
29   50:33.265      1:09:40.454    1:09:42.866    2.412      2.412      Paused by player, Unpause by player
30   50:34.565      1:09:44.142    1:09:45.242    1.100      1.100      Paused by player, Unpause by player
31   50:36.265      1:09:46.923    1:09:48.627    1.704      1.704      Paused by player, Unpause by player
32   50:36.915      1:09:49.244    1:09:50.291    1.047      1.047      Paused by player, Unpause by player
33   52:28.715      1:11:42.061    1:11:43.237    1.176      1.176      Paused by player, Unpause by player
34   52:33.865      1:11:48.381    1:11:48.927    0.546      0.546      Paused by player, Unpause by player
35   52:37.415      1:11:52.465    1:11:55.050    2.585      2.585      Paused by player, Unpause by player
36   52:41.365      1:11:59.020    1:12:02.613    3.593      3.593      Paused by player, Unpause by player
37   52:45.515      1:12:06.798    1:13:43.936    97.138     97.138     Paused by player, Unpause by player
38   52:50.465      1:13:48.893    1:13:51.780    2.887      2.887      Paused by player, Unpause by player
39   52:51.215      1:13:52.520    1:13:52.951    0.431      0.431      Paused by player, Unpause by player
40   52:51.415      1:13:53.157    1:13:54.370    1.213      1.213      Paused by player, Unpause by player
41   53:18.515      1:14:21.455    1:14:25.625    4.170      4.170      Paused by player, Unpause by player
42   54:03.515      1:15:10.583    1:15:13.924    3.341      3.341      Paused by player, Unpause by player
43   55:32.315      1:16:42.702    1:16:43.032    0.330      0.330      Paused by player, Unpause by player
44   55:46.615      1:16:57.327    1:16:58.621    1.294      1.294      Paused by player, Unpause by player
45   55:49.065      1:17:01.064    1:17:02.454    1.390      1.390      Paused by player, Unpause by player
46   56:04.765      1:17:18.154    1:17:18.920    0.766      0.766      Paused by player, Unpause by player
47   56:05.265      1:17:19.406    1:17:20.429    1.023      1.023      Paused by player, Unpause by player
48   56:08.615      1:17:23.734    1:17:33.023    9.289      9.289      Paused by player, Unpause by player
49   56:09.015      1:17:33.390    1:17:49.864    16.474     16.474     Paused by player, Unpause by player
50   56:10.015      1:17:50.861    1:17:53.250    2.389      2.389      Paused by player, Unpause by player
51   56:10.415      1:17:53.604    1:17:55.028    1.424      1.424      Paused by player, Unpause by player
52   56:12.865      1:17:57.453    1:17:59.329    1.876      1.876      Paused by player, Unpause by player
53   56:13.365      1:17:59.833    1:18:00.498    0.665      0.665      Paused by player, Unpause by player
54   56:17.715      1:18:04.841    1:18:05.257    0.416      0.416      Paused by player, Unpause by player
55   56:30.065      1:18:17.578    1:18:18.514    0.936      0.936      Paused by player, Unpause by player
56   56:32.715      1:18:21.140    1:18:25.877    4.737      4.737      Paused by player, Unpause by player
57   57:13.265      1:19:06.449    1:19:08.930    2.481      2.481      Paused by player, Unpause by player
58   59:58.565      1:21:54.187    1:22:04.569    10.382     10.382     Paused by player, Unpause by player
0    1:05:02.065    1:27:08.056    1:29:29.585    141.529               Paused by player, Unpause by changed look direction
1    1:05:14.419    1:29:41.957    1:30:42.656    60.699     60.699     Paused by player, Unpause by player
2    1:06:25.069    1:31:53.305    1:32:00.014    6.709      6.709      Paused by player, Unpause by player
3    1:08:51.569    1:34:26.508    1:34:41.555    15.047     15.047     Paused by player, Unpause by player
4    1:08:57.219    1:34:47.192    1:35:33.393    46.201     46.201     Paused by player, Unpause by player
5    1:10:03.669    1:36:39.825    1:36:40.802    0.977      0.977      Paused by player, Unpause by player
6    1:10:04.369    1:36:41.502    1:36:42.312    0.810      0.810      Paused by player, Unpause by player
7    1:10:05.569    1:36:43.497    1:36:46.711    3.214      3.214      Paused by player, Unpause by player
8    1:10:06.169    1:36:47.276    1:36:49.469    2.193      2.193      Paused by player, Unpause by player
9    1:10:19.169    1:37:02.436    1:37:10.254    7.818      7.818      Paused by player, Unpause by player
10   1:10:21.719    1:37:12.842    1:37:13.106    0.264      0.264      Paused by player, Unpause by player
11   1:10:25.119    1:37:16.490    1:37:25.449    8.959      8.959      Paused by player, Unpause by player
12   1:10:25.969    1:37:26.271    1:37:42.043    15.772     15.772     Paused by player, Unpause by player
13   1:10:27.019    1:37:43.086    1:37:50.581    7.495      7.495      Paused by player, Unpause by player
14   1:10:45.769    1:38:09.322    1:38:10.280    0.958      0.958      Paused by player, Unpause by player
15   1:10:46.219    1:38:10.710    1:38:11.503    0.793      0.793      Paused by player, Unpause by player
16   1:10:48.619    1:38:13.892    1:38:18.883    4.991      4.991      Paused by player, Unpause by player
17   1:10:49.419    1:38:19.678    1:38:20.416    0.738      0.738      Paused by player, Unpause by player
18   1:10:49.969    1:38:20.929    1:38:24.077    3.148      3.148      Paused by player, Unpause by player
19   1:10:50.619    1:38:24.729    1:38:25.382    0.653      0.653      Paused by player, Unpause by player
20   1:10:50.919    1:38:25.690    1:38:26.278    0.588      0.588      Paused by player, Unpause by player
21   1:10:51.369    1:38:26.687    1:38:29.682    2.995      2.995      Paused by player, Unpause by player
22   1:10:51.769    1:38:30.042    1:38:32.492    2.450      2.450      Paused by player, Unpause by player
23   1:10:52.469    1:38:33.194    1:38:41.485    8.291      8.291      Paused by player, Unpause by player
24   1:10:53.669    1:38:42.654    1:38:50.520    7.866      7.866      Paused by player, Unpause by player
25   1:10:55.069    1:38:51.919    1:39:09.503    17.584     17.584     Paused by player, Unpause by player
26   1:10:55.619    1:39:10.004    1:39:10.891    0.887      0.887      Paused by player, Unpause by player
27   1:10:55.869    1:39:11.108    1:39:11.854    0.746      0.746      Paused by player, Unpause by player
28   1:10:56.369    1:39:12.325    1:39:16.396    4.071      4.071      Paused by player, Unpause by player
29   1:11:00.669    1:39:20.692    1:39:22.276    1.584      1.584      Paused by player, Unpause by player
30   1:11:01.669    1:39:23.250    1:39:24.040    0.790      0.790      Paused by player, Unpause by player
31   1:11:02.169    1:39:24.517    1:39:25.306    0.789      0.789      Paused by player, Unpause by player
32   1:11:02.869    1:39:25.989    1:39:32.225    6.236      6.236      Paused by player, Unpause by player
33   1:11:12.669    1:39:42.033    1:39:43.265    1.232      1.232      Paused by player, Unpause by player
34   1:11:12.919    1:39:43.485    1:39:47.467    3.982      3.982      Paused by player, Unpause by player
35   1:11:13.269    1:39:47.830    1:39:48.083    0.253      0.253      Paused by player, Unpause by player
36   1:11:20.469    1:39:55.258    1:39:55.934    0.676      0.676      Paused by player, Unpause by player
37   1:11:20.969    1:39:56.429    1:40:10.638    14.209     14.209     Paused by player, Unpause by player
38   1:11:21.769    1:40:11.419    1:40:12.271    0.852      0.852      Paused by player, Unpause by player
39   1:11:22.269    1:40:12.748    1:40:14.795    2.047      2.047      Paused by player, Unpause by player
40   1:11:22.669    1:40:15.183    1:40:17.290    2.107      2.107      Paused by player, Unpause by player
41   1:11:23.119    1:40:17.718    1:40:19.540    1.822      1.822      Paused by player, Unpause by player
42   1:11:29.069    1:40:25.489    1:40:27.687    2.198      2.198      Paused by player, Unpause by player
43   1:11:29.569    1:40:28.186    1:40:28.921    0.735      0.735      Paused by player, Unpause by player
44   1:11:33.419    1:40:32.732    1:40:39.235    6.503      6.503      Paused by player, Unpause by player
45   1:11:45.119    1:40:50.944    1:40:51.534    0.590      0.590      Paused by player, Unpause by player
46   1:11:47.269    1:40:53.642    1:41:03.119    9.477      9.477      Paused by player, Unpause by player
47   1:11:52.769    1:41:08.640    1:41:08.938    0.298      0.298      Paused by player, Unpause by player
48   1:11:53.169    1:41:09.351    1:41:15.655    6.304      6.304      Paused by player, Unpause by player
49   1:11:55.769    1:41:18.239    1:41:20.083    1.844      1.844      Paused by player, Unpause by player
50   1:11:56.169    1:41:20.489    1:41:20.703    0.214      0.214      Paused by player, Unpause by player
51   1:12:06.269    1:41:30.779    1:41:37.439    6.660      6.660      Paused by player, Unpause by player
52   1:12:39.369    1:42:10.496    1:42:11.135    0.639      0.639      Paused by player, Unpause by player
53   1:12:39.869    1:42:11.611    1:42:13.008    1.397      1.397      Paused by player, Unpause by player
54   1:12:55.569    1:42:28.679    1:42:29.364    0.685      0.685      Paused by player, Unpause by player
55   1:13:04.169    1:42:37.943    1:42:38.725    0.782      0.782      Paused by player, Unpause by player
56   1:13:10.969    1:42:45.532    1:42:46.892    1.360      1.360      Paused by player, Unpause by player
57   1:13:11.969    1:42:47.881    1:42:49.182    1.301      1.301      Paused by player, Unpause by player
58   1:13:12.519    1:42:49.720    1:42:50.479    0.759      0.759      Paused by player, Unpause by player
59   1:13:15.619    1:42:53.549    1:42:54.192    0.643      0.643      Paused by player, Unpause by player
60   1:13:23.369    1:43:01.919    1:43:02.835    0.916      0.916      Paused by player, Unpause by player
61   1:13:24.419    1:43:03.846    1:43:04.467    0.621      0.621      Paused by player, Unpause by player
62   1:13:39.319    1:43:19.346    1:43:20.031    0.685      0.685      Paused by player, Unpause by player
63   1:13:50.919    1:43:31.631    1:43:32.958    1.327      1.327      Paused by player, Unpause by player
64   1:14:22.069    1:44:04.076    1:44:10.147    6.071      6.071      Paused by player, Unpause by player
65   1:14:23.569    1:44:11.638    1:44:12.806    1.168      1.168      Paused by player, Unpause by player
66   1:14:42.169    1:44:31.377    1:44:32.314    0.937      0.937      Paused by player, Unpause by player
67   1:14:42.369    1:44:32.499    1:44:32.718    0.219      0.219      Paused by player, Unpause by player
68   1:14:43.619    1:44:33.930    1:44:34.681    0.751      0.751      Paused by player, Unpause by player
69   1:14:46.219    1:44:37.288    1:44:38.317    1.029      1.029      Paused by player, Unpause by player
70   1:14:48.419    1:44:40.493    1:44:40.977    0.484      0.484      Paused by player, Unpause by player
71   1:14:50.719    1:44:43.262    1:45:10.306    27.044     27.044     Paused by player, Unpause by player
72   1:15:02.969    1:45:22.543    1:45:23.779    1.236      1.236      Paused by player, Unpause by player
73   1:15:05.719    1:45:26.528    1:45:27.664    1.136      1.136      Paused by player, Unpause by player
74   1:15:12.719    1:45:34.620    1:45:35.235    0.615      0.615      Paused by player, Unpause by player
75   1:15:12.969    1:45:35.471    1:45:36.155    0.684      0.684      Paused by player, Unpause by player
76   1:15:13.469    1:45:36.658    1:45:37.199    0.541      0.541      Paused by player, Unpause by player
77   1:15:25.369    1:45:49.061    1:45:49.767    0.706      0.706      Paused by player, Unpause by player
78   1:15:32.569    1:45:56.969    1:45:57.710    0.741      0.741      Paused by player, Unpause by player
79   1:15:33.519    1:45:58.618    1:45:59.665    1.047      1.047      Paused by player, Unpause by player
80   1:15:34.119    1:46:00.222    1:46:00.923    0.701      0.701      Paused by player, Unpause by player
81   1:15:34.269    1:46:01.098    1:46:01.361    0.263      0.263      Paused by player, Unpause by player
82   1:15:41.569    1:46:08.653    1:46:09.130    0.477      0.477      Paused by player, Unpause by player
83   1:15:44.319    1:46:11.839    1:46:16.256    4.417      4.417      Paused by player, Unpause by player
84   1:15:45.519    1:46:17.451    1:46:19.179    1.728      1.728      Paused by player, Unpause by player
85   1:15:49.219    1:46:22.842    1:46:25.131    2.289      2.289      Paused by player, Unpause by player
86   1:15:59.219    1:46:35.091    1:46:35.905    0.814      0.814      Paused by player, Unpause by player
87   1:15:59.519    1:46:36.174    1:46:36.402    0.228      0.228      Paused by player, Unpause by player
88   1:16:14.169    1:46:51.031    1:46:52.339    1.308      1.308      Paused by player, Unpause by player
89   1:16:26.469    1:47:04.601    1:47:05.414    0.813      0.813      Paused by player, Unpause by player
90   1:16:43.919    1:47:22.864    1:47:23.445    0.581      0.581      Paused by player, Unpause by player
91   1:16:50.769    1:47:30.273    1:47:31.261    0.988      0.988      Paused by player, Unpause by player
92   1:17:07.769    1:47:48.252    1:47:49.006    0.754      0.754      Paused by player, Unpause by player
93   1:17:10.069    1:47:51.276    1:47:52.173    0.897      0.897      Paused by player, Unpause by player
94   1:17:10.469    1:47:52.541    1:47:53.258    0.717      0.717      Paused by player, Unpause by player
95   1:17:11.119    1:47:53.906    1:47:54.622    0.716      0.716      Paused by player, Unpause by player
96   1:17:11.969    1:47:55.450    1:48:02.686    7.236      7.236      Paused by player, Unpause by player
97   1:17:12.769    1:48:03.475    1:48:04.303    0.828      0.828      Paused by player, Unpause by player
98   1:17:13.119    1:48:04.611    1:48:05.467    0.856      0.856      Paused by player, Unpause by player
99   1:17:14.469    1:48:06.819    1:48:12.125    5.306      5.306      Paused by player, Unpause by player
100  1:17:15.069    1:48:12.712    1:48:14.096    1.384      1.384      Paused by player, Unpause by player
101  1:17:21.069    1:48:20.135    1:48:20.394    0.259                 Paused by changed dimension, Unpause by moved mouse
102  1:17:22.962    1:48:22.328    1:48:22.624    0.296                 Paused by changed dimension, Unpause by rendered
103  1:17:36.076    1:48:35.747    1:48:37.254    1.507      1.507      Paused by player, Unpause by player
104  1:18:04.226    1:49:05.400    1:49:06.005    0.605      0.605      Paused by player, Unpause by player
105  1:18:04.726    1:49:06.491    1:49:06.961    0.470      0.470      Paused by player, Unpause by player
106  1:18:05.926    1:49:08.129    1:49:08.477    0.348      0.348      Paused by player, Unpause by player
107  1:18:06.276    1:49:08.785    1:49:15.092    6.307      6.307      Paused by player, Unpause by player
108  1:18:41.276    1:49:50.119    1:50:00.023    9.904      9.904      Paused by player, Unpause by player
109  1:19:54.926    1:51:13.693    1:51:13.959    0.266      0.266      Paused by player, Unpause by player
110  1:20:02.576    1:51:21.593    1:51:22.809    1.216      1.216      Paused by player, Unpause by player
111  1:20:05.076    1:51:25.276    1:51:30.055    4.779      4.779      Paused by player, Unpause by player
112  1:20:09.376    1:51:34.340    1:51:38.759    4.419      4.419      Paused by player, Unpause by player
113  1:20:10.326    1:51:39.671    1:51:41.553    1.882      1.882      Paused by player, Unpause by player
114  1:20:11.476    1:51:42.681    1:51:44.972    2.291      2.291      Paused by player, Unpause by player
115  1:20:40.426    1:52:13.903    1:52:16.516    2.613      2.613      Paused by player, Unpause by player
116  1:20:41.126    1:52:17.180    1:52:20.015    2.835      2.835      Paused by player, Unpause by player
117  1:20:49.926    1:52:28.792    1:52:31.891    3.099      3.099      Paused by player, Unpause by player
118  1:20:55.626    1:52:37.566    1:52:38.570    1.004      1.004      Paused by player, Unpause by player
119  1:20:56.426    1:52:39.338    1:52:40.961    1.623      1.623      Paused by player, Unpause by player
120  1:21:14.426    1:52:58.953    1:52:59.701    0.748      0.748      Paused by player, Unpause by player
121  1:21:16.176    1:53:01.446    1:53:02.237    0.791      0.791      Paused by player, Unpause by player
122  1:21:17.226    1:53:03.286    1:53:06.513    3.227      3.227      Paused by player, Unpause by player
123  1:21:18.976    1:53:08.237    1:53:21.238    13.001     13.001     Paused by player, Unpause by player
124  1:21:21.526    1:53:23.753    1:53:24.060    0.307      0.307      Paused by player, Unpause by player
125  1:21:21.876    1:53:24.415    1:53:24.662    0.247      0.247      Paused by player, Unpause by player
126  1:21:22.526    1:53:25.317    1:53:26.133    0.816      0.816      Paused by player, Unpause by player
127  1:21:23.126    1:53:26.722    1:53:27.484    0.762      0.762      Paused by player, Unpause by player
128  1:21:24.876    1:53:29.208    1:53:29.598    0.390      0.390      Paused by player, Unpause by player
129  1:21:25.226    1:53:29.920    1:53:30.298    0.378      0.378      Paused by player, Unpause by player
130  1:21:26.426    1:53:31.488    1:53:32.493    1.005      1.005      Paused by player, Unpause by player
131  1:21:42.876    1:53:48.929    1:53:50.619    1.690      1.690      Paused by player, Unpause by player
132  1:21:43.276    1:53:51.007    1:53:55.827    4.820      4.820      Paused by player, Unpause by player
133  1:21:44.376    1:53:56.900    1:54:19.895    22.995     22.995     Paused by player, Unpause by player
134  1:21:46.926    1:54:22.407    1:54:23.498    1.091      1.091      Paused by player, Unpause by player
135  1:22:19.726    1:54:56.269    1:54:57.734    1.465      1.465      Paused by player, Unpause by player
136  1:22:30.726    1:55:08.758    1:55:29.598    20.840     20.840     Paused by player, Unpause by player
137  1:23:02.426    1:56:01.261    1:56:13.417    12.156     12.156     Paused by player, Unpause by player
138  1:23:10.626    1:56:21.578    1:56:23.182    1.604      1.604      Paused by player, Unpause by player
139  1:23:11.326    1:56:23.916    1:56:27.343    3.427      3.427      Paused by player, Unpause by player
140  1:24:54.926    1:58:10.926    1:58:11.317    0.391      0.391      Paused by player, Unpause by player
141  1:25:30.426    1:58:46.803    1:58:47.209    0.406      0.406      Paused by player, Unpause by player
142  1:28:11.026    2:01:27.792    2:01:46.194    18.402     18.402     Paused by player, Unpause by player
143  1:28:16.176    2:01:51.360    2:02:12.963    21.603     21.603     Paused by player, Unpause by player
144  1:29:02.376    2:02:59.175    2:03:17.232    18.057     18.057     Paused by player, Unpause by player
145  1:29:05.826    2:03:20.653    2:03:22.001    1.348      1.348      Paused by player, Unpause by player
146  1:29:24.376    2:03:40.530    2:03:49.613    9.083      9.083      Paused by player, Unpause by player
147  1:29:38.026    2:04:03.255    2:04:18.629    15.374     15.374     Paused by player, Unpause by player
148  1:29:57.976    2:04:38.544    2:04:42.101    3.557      3.557      Paused by player, Unpause by player
149  1:30:06.726    2:04:50.806    2:04:55.677    4.871      4.871      Paused by player, Unpause by player
150  1:30:07.576    2:04:56.516    2:05:06.408    9.892      9.892      Paused by player, Unpause by player
151  1:30:10.026    2:05:08.860    2:05:16.898    8.038      8.038      Paused by player, Unpause by player
152  1:30:11.826    2:05:18.710    2:05:22.256    3.546      3.546      Paused by player, Unpause by player
153  1:30:14.576    2:05:24.963    2:05:27.147    2.184      2.184      Paused by player, Unpause by player
